Product,Current Factory,Alt Factory,Region,Ship Mode,Current Lead Time,Alt Lead Time,LT Reduction (days),LT Reduction (%),Current Distance,Alt Distance,Risk Level
Wonka Bar - Milk Chocolate,Wicked Choccy's,Secret Factory,Interior,Same Day,1343.61,1339.95,3.66,0.27,1092.4,430.51,Low Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,The Other Factory,Interior,Same Day,1343.61,1340.62,2.99,0.22,1092.4,550.73,Low Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,Lot's O' Nuts,Atlantic,Standard Class,1339.06,1348.24,-9.18,-0.69,269.13,1931.99,High Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,Sugar Shack,Atlantic,Standard Class,1339.06,1344.75,-5.69,-0.42,269.13,1299.59,Medium Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,Secret Factory,Atlantic,Standard Class,1339.06,1342.07,-3.01,-0.22,269.13,813.31,Medium Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,The Other Factory,Atlantic,Standard Class,1339.06,1341.31,-2.25,-0.17,269.13,676.7,Low Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,Lot's O' Nuts,Atlantic,First Class,1339.06,1348.24,-9.18,-0.69,269.13,1931.99,High Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,Sugar Shack,Atlantic,First Class,1339.06,1344.75,-5.69,-0.42,269.13,1299.59,Medium Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,Secret Factory,Atlantic,First Class,1339.06,1342.07,-3.01,-0.22,269.13,813.31,Medium Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,The Other Factory,Atlantic,First Class,1339.06,1341.31,-2.25,-0.17,269.13,676.7,Low Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,Lot's O' Nuts,Atlantic,Second Class,1339.06,1348.24,-9.18,-0.69,269.13,1931.99,High Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,Sugar Shack,Atlantic,Second Class,1339.06,1344.75,-5.69,-0.42,269.13,1299.59,Medium Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,Secret Factory,Atlantic,Second Class,1339.06,1342.07,-3.01,-0.22,269.13,813.31,Medium Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,The Other Factory,Atlantic,Second Class,1339.06,1341.31,-2.25,-0.17,269.13,676.7,Low Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,Lot's O' Nuts,Atlantic,Same Day,1339.06,1348.24,-9.18,-0.69,269.13,1931.99,High Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,Sugar Shack,Atlantic,Same Day,1339.06,1344.75,-5.69,-0.42,269.13,1299.59,Medium Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,Secret Factory,Atlantic,Same Day,1339.06,1342.07,-3.01,-0.22,269.13,813.31,Medium Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,The Other Factory,Atlantic,Same Day,1339.06,1341.31,-2.25,-0.17,269.13,676.7,Low Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,Lot's O' Nuts,Gulf,Standard Class,1342.33,1343.04,-0.71,-0.05,860.86,990.51,Medium Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,Sugar Shack,Gulf,Standard Class,1342.33,1344.58,-2.25,-0.17,860.86,1269.24,Medium Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,Secret Factory,Gulf,Standard Class,1342.33,1342.27,0.06,0.0,860.86,850.99,Medium Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,The Other Factory,Gulf,Standard Class,1342.33,1340.26,2.07,0.15,860.86,485.76,Low Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,Lot's O' Nuts,Gulf,First Class,1342.33,1343.04,-0.71,-0.05,860.86,990.51,Medium Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,Sugar Shack,Gulf,First Class,1342.33,1344.58,-2.25,-0.17,860.86,1269.24,Medium Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,Secret Factory,Gulf,First Class,1342.33,1342.27,0.06,0.0,860.86,850.99,Medium Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,The Other Factory,Gulf,First Class,1342.33,1340.26,2.07,0.15,860.86,485.76,Low Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,Lot's O' Nuts,Gulf,Second Class,1342.33,1343.04,-0.71,-0.05,860.86,990.51,Medium Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,Sugar Shack,Gulf,Second Class,1342.33,1344.58,-2.25,-0.17,860.86,1269.24,Medium Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,Secret Factory,Gulf,Second Class,1342.33,1342.27,0.06,0.0,860.86,850.99,Medium Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,The Other Factory,Gulf,Second Class,1342.33,1340.26,2.07,0.15,860.86,485.76,Low Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,Lot's O' Nuts,Gulf,Same Day,1342.33,1343.04,-0.71,-0.05,860.86,990.51,Medium Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,Sugar Shack,Gulf,Same Day,1342.33,1344.58,-2.25,-0.17,860.86,1269.24,Medium Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,Secret Factory,Gulf,Same Day,1342.33,1342.27,0.06,0.0,860.86,850.99,Medium Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,The Other Factory,Gulf,Same Day,1342.33,1340.26,2.07,0.15,860.86,485.76,Low Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,Lot's O' Nuts,Pacific,Standard Class,1349.41,1339.68,9.73,0.72,2143.85,381.6,Low Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,Sugar Shack,Pacific,Standard Class,1349.41,1345.83,3.58,0.27,2143.85,1495.26,Medium Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,Secret Factory,Pacific,Standard Class,1349.41,1346.34,3.07,0.23,2143.85,1587.89,High Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,The Other Factory,Pacific,Standard Class,1349.41,1346.43,2.98,0.22,2143.85,1604.38,High Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,Lot's O' Nuts,Pacific,First Class,1349.41,1339.68,9.73,0.72,2143.85,381.6,Low Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,Sugar Shack,Pacific,First Class,1349.41,1345.83,3.58,0.27,2143.85,1495.26,Medium Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,Secret Factory,Pacific,First Class,1349.41,1346.34,3.07,0.23,2143.85,1587.89,High Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,The Other Factory,Pacific,First Class,1349.41,1346.43,2.98,0.22,2143.85,1604.38,High Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,Lot's O' Nuts,Pacific,Second Class,1349.41,1339.68,9.73,0.72,2143.85,381.6,Low Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,Sugar Shack,Pacific,Second Class,1349.41,1345.83,3.58,0.27,2143.85,1495.26,Medium Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,Secret Factory,Pacific,Second Class,1349.41,1346.34,3.07,0.23,2143.85,1587.89,High Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,The Other Factory,Pacific,Second Class,1349.41,1346.43,2.98,0.22,2143.85,1604.38,High Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,Lot's O' Nuts,Pacific,Same Day,1349.41,1339.68,9.73,0.72,2143.85,381.6,Low Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,Sugar Shack,Pacific,Same Day,1349.41,1345.83,3.58,0.27,2143.85,1495.26,Medium Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,Secret Factory,Pacific,Same Day,1349.41,1346.34,3.07,0.23,2143.85,1587.89,High Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,The Other Factory,Pacific,Same Day,1349.41,1346.43,2.98,0.22,2143.85,1604.38,High Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Lot's O' Nuts,Interior,Standard Class,1344.74,1343.54,1.2,0.09,1092.4,875.45,Medium Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Sugar Shack,Interior,Standard Class,1344.74,1342.05,2.69,0.2,1092.4,605.2,Low Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Secret Factory,Interior,Standard Class,1344.74,1341.08,3.66,0.27,1092.4,430.51,Low Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,The Other Factory,Interior,Standard Class,1344.74,1341.75,2.99,0.22,1092.4,550.73,Low Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Lot's O' Nuts,Interior,First Class,1344.74,1343.54,1.2,0.09,1092.4,875.45,Medium Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Sugar Shack,Interior,First Class,1344.74,1342.05,2.69,0.2,1092.4,605.2,Low Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Secret Factory,Interior,First Class,1344.74,1341.08,3.66,0.27,1092.4,430.51,Low Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,The Other Factory,Interior,First Class,1344.74,1341.75,2.99,0.22,1092.4,550.73,Low Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Lot's O' Nuts,Interior,Second Class,1344.74,1343.54,1.2,0.09,1092.4,875.45,Medium Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Sugar Shack,Interior,Second Class,1344.74,1342.05,2.69,0.2,1092.4,605.2,Low Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Secret Factory,Interior,Second Class,1344.74,1341.08,3.66,0.27,1092.4,430.51,Low Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,The Other Factory,Interior,Second Class,1344.74,1341.75,2.99,0.22,1092.4,550.73,Low Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Lot's O' Nuts,Interior,Same Day,1344.74,1343.54,1.2,0.09,1092.4,875.45,Medium Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Sugar Shack,Interior,Same Day,1344.74,1342.05,2.69,0.2,1092.4,605.2,Low Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Secret Factory,Interior,Same Day,1344.74,1341.08,3.66,0.27,1092.4,430.51,Low Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,The Other Factory,Interior,Same Day,1344.74,1341.75,2.99,0.22,1092.4,550.73,Low Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Lot's O' Nuts,Atlantic,Standard Class,1340.19,1349.37,-9.18,-0.68,269.13,1931.99,High Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Sugar Shack,Atlantic,Standard Class,1340.19,1345.88,-5.69,-0.42,269.13,1299.59,Medium Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Secret Factory,Atlantic,Standard Class,1340.19,1343.2,-3.01,-0.22,269.13,813.31,Medium Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,The Other Factory,Atlantic,Standard Class,1340.19,1342.44,-2.25,-0.17,269.13,676.7,Low Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Lot's O' Nuts,Atlantic,First Class,1340.19,1349.37,-9.18,-0.68,269.13,1931.99,High Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Sugar Shack,Atlantic,First Class,1340.19,1345.88,-5.69,-0.42,269.13,1299.59,Medium Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Secret Factory,Atlantic,First Class,1340.19,1343.2,-3.01,-0.22,269.13,813.31,Medium Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,The Other Factory,Atlantic,First Class,1340.19,1342.44,-2.25,-0.17,269.13,676.7,Low Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Lot's O' Nuts,Atlantic,Second Class,1340.19,1349.37,-9.18,-0.68,269.13,1931.99,High Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Sugar Shack,Atlantic,Second Class,1340.19,1345.88,-5.69,-0.42,269.13,1299.59,Medium Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Secret Factory,Atlantic,Second Class,1340.19,1343.2,-3.01,-0.22,269.13,813.31,Medium Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,The Other Factory,Atlantic,Second Class,1340.19,1342.44,-2.25,-0.17,269.13,676.7,Low Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Lot's O' Nuts,Atlantic,Same Day,1340.19,1349.37,-9.18,-0.68,269.13,1931.99,High Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Sugar Shack,Atlantic,Same Day,1340.19,1345.88,-5.69,-0.42,269.13,1299.59,Medium Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Secret Factory,Atlantic,Same Day,1340.19,1343.2,-3.01,-0.22,269.13,813.31,Medium Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,The Other Factory,Atlantic,Same Day,1340.19,1342.44,-2.25,-0.17,269.13,676.7,Low Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Lot's O' Nuts,Gulf,Standard Class,1343.46,1344.18,-0.72,-0.05,860.86,990.51,Medium Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Sugar Shack,Gulf,Standard Class,1343.46,1345.71,-2.25,-0.17,860.86,1269.24,Medium Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Secret Factory,Gulf,Standard Class,1343.46,1343.41,0.05,0.0,860.86,850.99,Medium Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,The Other Factory,Gulf,Standard Class,1343.46,1341.39,2.07,0.15,860.86,485.76,Low Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Lot's O' Nuts,Gulf,First Class,1343.46,1344.18,-0.72,-0.05,860.86,990.51,Medium Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Sugar Shack,Gulf,First Class,1343.46,1345.71,-2.25,-0.17,860.86,1269.24,Medium Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Secret Factory,Gulf,First Class,1343.46,1343.41,0.05,0.0,860.86,850.99,Medium Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,The Other Factory,Gulf,First Class,1343.46,1341.39,2.07,0.15,860.86,485.76,Low Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Lot's O' Nuts,Gulf,Second Class,1343.46,1344.18,-0.72,-0.05,860.86,990.51,Medium Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Sugar Shack,Gulf,Second Class,1343.46,1345.71,-2.25,-0.17,860.86,1269.24,Medium Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Secret Factory,Gulf,Second Class,1343.46,1343.41,0.05,0.0,860.86,850.99,Medium Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,The Other Factory,Gulf,Second Class,1343.46,1341.39,2.07,0.15,860.86,485.76,Low Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Lot's O' Nuts,Gulf,Same Day,1343.46,1344.18,-0.72,-0.05,860.86,990.51,Medium Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Sugar Shack,Gulf,Same Day,1343.46,1345.71,-2.25,-0.17,860.86,1269.24,Medium Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Secret Factory,Gulf,Same Day,1343.46,1343.41,0.05,0.0,860.86,850.99,Medium Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,The Other Factory,Gulf,Same Day,1343.46,1341.39,2.07,0.15,860.86,485.76,Low Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Lot's O' Nuts,Pacific,Standard Class,1350.54,1340.81,9.73,0.72,2143.85,381.6,Low Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Sugar Shack,Pacific,Standard Class,1350.54,1346.96,3.58,0.27,2143.85,1495.26,Medium Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Secret Factory,Pacific,Standard Class,1350.54,1347.47,3.07,0.23,2143.85,1587.89,High Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,The Other Factory,Pacific,Standard Class,1350.54,1347.57,2.97,0.22,2143.85,1604.38,High Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Lot's O' Nuts,Pacific,First Class,1350.54,1340.81,9.73,0.72,2143.85,381.6,Low Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Sugar Shack,Pacific,First Class,1350.54,1346.96,3.58,0.27,2143.85,1495.26,Medium Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Secret Factory,Pacific,First Class,1350.54,1347.47,3.07,0.23,2143.85,1587.89,High Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,The Other Factory,Pacific,First Class,1350.54,1347.57,2.97,0.22,2143.85,1604.38,High Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Lot's O' Nuts,Pacific,Second Class,1350.54,1340.81,9.73,0.72,2143.85,381.6,Low Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Sugar Shack,Pacific,Second Class,1350.54,1346.96,3.58,0.27,2143.85,1495.26,Medium Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Secret Factory,Pacific,Second Class,1350.54,1347.47,3.07,0.23,2143.85,1587.89,High Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,The Other Factory,Pacific,Second Class,1350.54,1347.57,2.97,0.22,2143.85,1604.38,High Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Lot's O' Nuts,Pacific,Same Day,1350.54,1340.81,9.73,0.72,2143.85,381.6,Low Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Sugar Shack,Pacific,Same Day,1350.54,1346.96,3.58,0.27,2143.85,1495.26,Medium Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Secret Factory,Pacific,Same Day,1350.54,1347.47,3.07,0.23,2143.85,1587.89,High Risk
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,The Other Factory,Pacific,Same Day,1350.54,1347.57,2.97,0.22,2143.85,1604.38,High Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Wicked Choccy's,Interior,Standard Class,1343.51,1344.71,-1.2,-0.09,875.45,1092.4,Medium Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Sugar Shack,Interior,Standard Class,1343.51,1342.02,1.49,0.11,875.45,605.2,Low Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Secret Factory,Interior,Standard Class,1343.51,1341.06,2.45,0.18,875.45,430.51,Low Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,The Other Factory,Interior,Standard Class,1343.51,1341.72,1.79,0.13,875.45,550.73,Low Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Wicked Choccy's,Interior,First Class,1343.51,1344.71,-1.2,-0.09,875.45,1092.4,Medium Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Sugar Shack,Interior,First Class,1343.51,1342.02,1.49,0.11,875.45,605.2,Low Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Secret Factory,Interior,First Class,1343.51,1341.06,2.45,0.18,875.45,430.51,Low Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,The Other Factory,Interior,First Class,1343.51,1341.72,1.79,0.13,875.45,550.73,Low Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Wicked Choccy's,Interior,Second Class,1343.51,1344.71,-1.2,-0.09,875.45,1092.4,Medium Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Sugar Shack,Interior,Second Class,1343.51,1342.02,1.49,0.11,875.45,605.2,Low Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Secret Factory,Interior,Second Class,1343.51,1341.06,2.45,0.18,875.45,430.51,Low Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,The Other Factory,Interior,Second Class,1343.51,1341.72,1.79,0.13,875.45,550.73,Low Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Wicked Choccy's,Interior,Same Day,1343.51,1344.71,-1.2,-0.09,875.45,1092.4,Medium Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Sugar Shack,Interior,Same Day,1343.51,1342.02,1.49,0.11,875.45,605.2,Low Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Secret Factory,Interior,Same Day,1343.51,1341.06,2.45,0.18,875.45,430.51,Low Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,The Other Factory,Interior,Same Day,1343.51,1341.72,1.79,0.13,875.45,550.73,Low Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Wicked Choccy's,Atlantic,Standard Class,1349.35,1340.17,9.18,0.68,1931.99,269.13,Low Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Sugar Shack,Atlantic,Standard Class,1349.35,1345.86,3.49,0.26,1931.99,1299.59,Medium Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Secret Factory,Atlantic,Standard Class,1349.35,1343.17,6.18,0.46,1931.99,813.31,Medium Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,The Other Factory,Atlantic,Standard Class,1349.35,1342.42,6.93,0.51,1931.99,676.7,Low Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Wicked Choccy's,Atlantic,First Class,1349.35,1340.17,9.18,0.68,1931.99,269.13,Low Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Sugar Shack,Atlantic,First Class,1349.35,1345.86,3.49,0.26,1931.99,1299.59,Medium Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Secret Factory,Atlantic,First Class,1349.35,1343.17,6.18,0.46,1931.99,813.31,Medium Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,The Other Factory,Atlantic,First Class,1349.35,1342.42,6.93,0.51,1931.99,676.7,Low Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Wicked Choccy's,Atlantic,Second Class,1349.35,1340.17,9.18,0.68,1931.99,269.13,Low Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Sugar Shack,Atlantic,Second Class,1349.35,1345.86,3.49,0.26,1931.99,1299.59,Medium Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Secret Factory,Atlantic,Second Class,1349.35,1343.17,6.18,0.46,1931.99,813.31,Medium Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,The Other Factory,Atlantic,Second Class,1349.35,1342.42,6.93,0.51,1931.99,676.7,Low Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Wicked Choccy's,Atlantic,Same Day,1349.35,1340.17,9.18,0.68,1931.99,269.13,Low Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Sugar Shack,Atlantic,Same Day,1349.35,1345.86,3.49,0.26,1931.99,1299.59,Medium Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Secret Factory,Atlantic,Same Day,1349.35,1343.17,6.18,0.46,1931.99,813.31,Medium Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,The Other Factory,Atlantic,Same Day,1349.35,1342.42,6.93,0.51,1931.99,676.7,Low Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Wicked Choccy's,Gulf,Standard Class,1344.15,1343.43,0.72,0.05,990.51,860.86,Medium Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Sugar Shack,Gulf,Standard Class,1344.15,1345.69,-1.54,-0.11,990.51,1269.24,Medium Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Secret Factory,Gulf,Standard Class,1344.15,1343.38,0.77,0.06,990.51,850.99,Medium Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,The Other Factory,Gulf,Standard Class,1344.15,1341.36,2.79,0.21,990.51,485.76,Low Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Wicked Choccy's,Gulf,First Class,1344.15,1343.43,0.72,0.05,990.51,860.86,Medium Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Sugar Shack,Gulf,First Class,1344.15,1345.69,-1.54,-0.11,990.51,1269.24,Medium Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Secret Factory,Gulf,First Class,1344.15,1343.38,0.77,0.06,990.51,850.99,Medium Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,The Other Factory,Gulf,First Class,1344.15,1341.36,2.79,0.21,990.51,485.76,Low Risk
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Wicked Choccy's,Gulf,Second Class,1344.15,1343.43,0.72,0.05,990.51,860.86,Medium Risk
